Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Provincia,Región,Latitud (Decimal),Longitud (decimal),Latitud (Sexagesimal),Longitud (Sexagesimal),rango_baths,rango_dormitorios
216000000,6069,268991,estacioncentral,MetroUniversidaddeSantiago,3,2,86.0,510.0,7.0,11095869,Santiago,Metropolitana de Santiago,-33.4589,-70.6989, -33°27' 32'' , -70°41' 56'' ,1-5,1-5
110000000,3091,136986,laflorida,Ventadecasaenbarrioresidencial,3,1,89.0,89.0,0.0,10215228,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
160155000,4500,199446,lampa,ElAlbaconCaminoDelSol,4,3,123.0,243.0,2.0,11100540,Chacabuco,Metropolitana de Santiago,-33.2858,-70.8778, -33°17' 9'' , -70°52' 40'' ,1-5,1-5
226708300,6370,282327,laflorida,Elhuallesur,4,3,120.0,171.0,3.0,10763342,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
198000000,5563,246575,laflorida,AvenidaDiegoPortales/FaldeosdelaViña,3,3,125.0,180.0,2.0,11100165,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
266925000,7500,332410,huechuraba,SantaMarta6850,4,4,157.0,235.0,2.0,11108357,Santiago,Metropolitana de Santiago,-33.3678,-70.6339, -33°22' 4'' , -70°38' 2'' ,1-5,1-5
131327100,3690,163546,maipu,CaminoMelipillaAvenidaElTranque,3,2,82.0,106.0,3.0,11100329,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
404302400,11360,503490,nunoa,MetroLosOrientales,2,4,136.0,338.0,1.0,11097201,Santiago,Metropolitana de Santiago,-33.4539,-70.6039, -33°27' 14'' , -70°36' 14'' ,1-5,1-5
1708320000,48000,2127422,lobarnechea,ParroquiaSantaTeresadelosAndes,7,4,680.0,1250.0,14.0,5671771,Santiago,Metropolitana de Santiago,-33.35,-70.5167,"-33°21' 0""","-70°31' 0""",1-5,6-10
971607000,27300,1209971,lascondes,SanJosedelaSierra,5,4,267.0,690.0,3.0,7224425,Santiago,Metropolitana de Santiago,-33.4167,-70.5833,"-33°25' 0""","-70°35' 0""",1-5,1-5
